,concept,Laplace
80,龙虾,0.48049822968558165
86,鳗鱼,0.39138187097287164
110,三文鱼,0.3757414760294356
143,虾,0.3699785572535623
161,鱼,0.3254707020435557
160,鱿鱼,0.29818899757412093
54,黄花鱼,0.29120978273212367
5,鲍鱼,0.27398115079129753
36,海参,0.24444386199726464
112,鲨鱼,0.2432640217813868
76,鲤鱼,0.2414313063545209
64,金枪鱼,0.2344163618545919
145,小龙虾,0.21904248390877798
135,乌龟,0.21694275953412775
14,蛏子,0.21357023099505396
12,草鱼,0.20991636570591402
101,泥鳅,0.20920289321546584
61,甲鱼,0.20159796175701478
59,鲫鱼,0.1775844752226531
37,海胆,0.1770125044241485
149,鸭子,0.17355363154574205
163,章鱼,0.17252602093437974
38,海龟,0.12961805755508019
19,带鱼,0.12793254407751337
115,扇贝,0.1236571637632352
65,金鱼,0.11814000013621682
66,鲸鱼,0.1131435917323714
105,螃蟹,0.10316484290474334
29,公鸡,0.09409036939800097
47,河马,0.09072246675930236
97,母鸡,0.0886840721675738
117,生蚝,0.08830355686700649
102,鲶鱼,0.0853154279389965
137,乌贼,0.08419515179760635
118,狮子,0.08222105059013174
71,昆虫,0.07804521408267252
28,鸽子,0.07537850926912426
127,天鹅,0.07198579055469126
0,鹌鹑,0.0712370727341518
56,火鸡,0.06765753292544929
130,兔子,0.06744523602500574
167,猪,0.0663105404296399
75,老鼠,0.0660185671361191
70,恐龙,0.06580289306004646
99,牡蛎,0.06533599017360099
136,乌鸦,0.061382085172774034
23,多宝鱼,0.06087211119301753
10,苍蝇,0.058827581726695125
107,企鹅,0.058372048890549054
132,网纹蟒,0.0565842487177611
109,乳鸽,0.056494978890424125
51,猴子,0.05467041743286755
24,鹅,0.054322130878488036
77,猎狗,0.054194436552250605
91,毛毛虫,0.05342689323268687
111,沙丁鱼,0.05097454541485634
103,鸟,0.049213245704530194
30,狗,0.04827062209551661
74,老虎,0.0470514614766474
52,狐狸,0.04499359046675435
69,孔雀鱼,0.044344135857102646
42,海獭,0.04372591634193094
89,猫头鹰,0.04218689485253096
124,松狮,0.041539724566575426
85,蚂蚁,0.03985398920600711
46,海蜇,0.03855575913373037
90,毛驴,0.03643549742122254
140,蜥蜴,0.03628810041649084
142,喜鹊,0.035741480483819865
55,黄鼠狼,0.035020621268557366
21,帝王蟹,0.034856411902737444
43,海豚,0.03444454668148933
108,蚯蚓,0.03412091653087254
82,螺蛳,0.03306149053943659
116,蛇,0.032903078210851255
134,蜗牛,0.029070896396676045
95,蜜蜂,0.028512427404522502
125,松鼠,0.027170246807775005
154,野鸡,0.026368504447769444
113,山羊,0.026245466003622497
31,蝈蝈,0.026216627868632162
166,蜘蛛,0.0261419245347043
114,珊瑚,0.023259997052704647
88,蟒蛇,0.021506338986857155
92,牦牛,0.021335397843330356
17,大象,0.02131369563612989
57,火烈鸟,0.021197319486111508
146,猩猩,0.02099338696172477
138,蜈蚣,0.020508685131485193
72,腊肠犬,0.02038655020005502
22,毒蛇,0.020115918197011248
6,蝙蝠,0.019609253949341966
119,鼠,0.018617840712683936
158,鹰,0.018407240078502096
41,海狮,0.017852047898915754
53,画眉鸟,0.017273013429999307
133,蚊子,0.01701206093113019
83,骆驼,0.016632865129808185
3,斑马,0.015803393134713982
13,蟾蜍,0.01553677128024451
120,水母,0.014800016556851292
1,霸王龙,0.01470330725663377
34,哈士奇,0.014440635237766623
35,海豹,0.014290503851074157
148,熊猫,0.013939204083430084
63,金毛犬,0.013859959941072678
155,野兔,0.013851582652977859
131,鸵鸟,0.013627441598650723
157,银环蛇,0.013068380293275715
81,骡子,0.01304103907330176
4,豹子,0.012914995831848838
104,牛,0.012801372233195687
159,萤火虫,0.012421376469265716
96,抹香鲸,0.012144203129227616
100,奶牛,0.011847254868865042
73,狼,0.011767197122551374
48,河豚,0.01175346459990547
123,水蛭,0.01139742709443673
106,瓢虫,0.01133698194115588
9,苍鹰,0.010753053741703154
141,蟋蟀,0.010661542658756533
162,鸳鸯,0.010343755634791372
15,刺猬,0.010016818728284803
121,水牛,0.00997287941855227
11,藏獒犬,0.009458276346632979
62,金龟子,0.009357757584504715
27,蝮蛇,0.009222657840316064
2,白蚁,0.008989339670212723
8,波斯猫,0.008448886807856557
147,熊,0.008303649960914436
168,竹节虫,0.007847418508438012
45,海星,0.007772065700800903
16,大灰狼,0.007746771727240798
152,燕子,0.007014836849760291
144,响尾蛇,0.00627140507584968
58,寄居蟹,0.006245585402934889
129,兔,0.006190205446318285
122,水蛇,0.006085390463463192
18,大猩猩,0.005924543747450261
50,猴,0.005780472803037528
128,秃鹰,0.005775006658254491
26,狒狒,0.00559932847444896
67,警犬,0.005320231686975326
153,羊驼,0.005020378318693207
60,家鼠,0.004602898612355674
20,导盲犬,0.004597872030832386
126,螳螂,0.004552507945341376
94,麋鹿,0.004455602060624754
164,鹧鸪,0.004142752731667595
139,犀牛,0.003814565350975202
87,螨虫,0.0035699638793062808
98,母羊,0.003017878384883374
44,海象,0.0030038829560011353
25,非洲象,0.0029355167460320976
32,果蝇,0.0027261348871363577
78,羚羊,0.0024789076331661972
150,鸭嘴兽,0.0022250442806377732
49,黑天鹅,0.002095379976690902
156,翼龙,0.0018372308007054325
39,海鸥,0.0018222380059763595
165,知更鸟,0.0016850763415077736
7,变色龙,0.0016388978471992609
33,哈巴狗,0.0016289382216096865
93,孟加拉虎,0.0015978746865249402
68,考拉,0.0015521302993916533
79,龙猫,0.0014057658895806442
40,海蛇,0.001353435556939091
151,鼹鼠,0.0010009005809773518
84,蚂蝗,0.00048127394586130497
169,蛀虫,0.0002865011484341497
