,concept,Laplace
55,衬衫,0.591255364219528
151,风衣,0.5814104631227375
125,短裤,0.5311118009808112
312,牛仔裤,0.5228820860771176
520,长裤,0.47844006453956917
272,连衣裙,0.4575193165962744
256,裤子,0.441324715116035
501,羽绒服,0.4022685534489429
437,西装,0.39515770351356627
425,袜子,0.3913111120166209
522,长裙,0.3725182694469568
267,礼服,0.3716570669286216
533,纸巾,0.36638121855800093
510,运动裤,0.3620242327193944
241,紧身衣,0.3537830143591454
271,连体衣,0.347781104483025
219,夹克,0.34755279539540546
309,内裤,0.34260356951826404
480,腰带,0.335917617963735
274,凉鞋,0.32920841033096826
511,运动鞋,0.3276038840171392
509,运动服,0.3243957090785178
429,围巾,0.29681986358442675
17,背带裤,0.2911976468944512
352,裙子,0.28697843029764175
521,长袍,0.2846419387035746
450,项链,0.28028990266103687
426,外套,0.26227863437724463
484,衣柜,0.2587980216183925
512,运动装,0.23640430480518168
310,内衣,0.234433710488394
392,水壶,0.22937561973761664
523,长袖,0.22617991239728194
418,头盔,0.22323166485696355
324,披风,0.2155048929769335
181,锅,0.20328667246756085
126,短裙,0.20310206186778954
290,毛衣,0.20050506729801584
83,大衣,0.19958566125964178
18,背心,0.18900072401441523
443,洗衣机,0.18702827464075433
15,杯子,0.18132441620289205
63,橱柜,0.17798753088387326
259,拉链,0.1688096494524703
251,军装,0.16801058358920767
130,耳机,0.16608555225445581
493,泳裤,0.16597757965732454
163,钢笔,0.16561130030702306
69,床垫,0.16498689192182006
326,皮夹克,0.16132644867760262
286,马桶,0.1611186298051826
436,西裤,0.15870317224182195
430,围裙,0.1570373226744818
399,丝袜,0.15597888106620314
127,短袖,0.15522192992134268
417,头巾,0.15471808613338686
120,丁字裤,0.15074904149401494
325,皮带,0.1496486895890758
129,耳环,0.13845078930789706
406,太阳镜,0.13725381016949778
382,书包,0.1357383871034249
360,砂锅,0.13523968285040663
419,头饰,0.13450237155684452
394,水龙头,0.1326750774879398
198,护腕,0.12921814413950936
410,汤碗,0.12842976384083715
375,手机,0.12626332970968834
440,洗脸盆,0.12425588193569197
14,杯垫,0.12216036371588344
86,单肩包,0.12064025837534248
466,牙签,0.12010944093460296
211,婚纱,0.11986093736885878
313,纽扣,0.11912618526521072
530,正装,0.11905844437874381
193,红酒杯,0.11614797621710246
340,铅笔,0.11170739259064903
528,枕头,0.11084831700164975
358,沙发,0.10954951417977918
66,窗户,0.10898863570959842
478,羊毛衣,0.10842534068905468
204,化妆品,0.1083873069184938
343,钱包,0.10778380104310493
495,泳装,0.10713288161055635
