,concept,Laplace
26,头发,0.06825572098507378
30,膝盖,0.05597291083898085
14,脚趾,0.052056075266753425
7,骨头,0.042765620467739705
9,胡须,0.03954740361697473
33,牙齿,0.038675995714039235
12,脚背,0.035764803029652494
11,脚,0.02995737193304155
21,皮肤,0.028995778843133684
24,手指,0.02242016170255409
5,耳朵,0.020987936384781872
29,臀部,0.018991587451344494
13,脚后跟,0.016684787524658493
36,指甲,0.016516715474531977
19,眉毛,0.01588487822504088
3,大腿,0.015707846935567052
37,指纹,0.014109691231954368
38,嘴唇,0.01393365396279075
28,腿,0.01309799828998468
1,辫子,0.01277737357176033
22,手臂,0.0124108544555343
25,头,0.01071805604503936
34,眼睛,0.009326135901700562
15,睫毛,0.009270282741246645
8,关节,0.008572214774424151
18,泪珠,0.008323703010867501
0,鼻子,0.0074694729913357145
23,手掌,0.007151949235804636
10,肩膀,0.004740607868000088
27,头皮,0.004416400085482384
20,拇指,0.003231555682822253
4,耳垂,0.0030535007030038294
2,大脑,0.001777103977147913
31,心脏,0.001669526051565646
16,口腔,0.0015196856865230925
32,血管,0.001482165430642047
17,肋骨,0.001016474827047632
35,羽毛,0.0005042515283713462
6,骨灰,0.0003257453579731458
