,concept,Laplace
58,红薯,0.6045542677293696
160,西红柿,0.5288794177628401
65,黄瓜,0.4821731881321957
91,莲藕,0.45222121899749806
116,柠檬,0.4470824288766894
60,胡萝卜,0.41221318752700975
162,西兰花,0.36974775353779704
107,猕猴桃,0.3252710347288253
132,山药,0.3139262745935116
54,荷兰豆,0.3127279969581122
85,蓝莓,0.31073985193243303
180,樱桃,0.298492947886971
158,无花果,0.2965218715795202
127,青菜,0.2913028139558224
126,芹菜,0.2841090237910242
187,芋头,0.2791926469962685
15,蚕豆,0.2700756944788822
48,海带,0.26761943058708426
74,金针菇,0.24458731353139082
157,莴笋,0.24113354441892387
96,萝卜,0.23758390131969168
143,丝瓜,0.235652292009399
92,榴莲,0.23121473086649946
25,大头菜,0.2285440127591119
26,大枣,0.22339536425126622
18,草莓,0.22060300441069933
97,绿豆,0.2060841901545413
3,白萝卜,0.1883712502789483
78,卷心菜,0.18640603088598873
28,灯笼椒,0.1726605067801962
125,茄子,0.15423135298925356
33,番茄,0.15109514997692117
186,玉米,0.14789788805890436
173,杨梅,0.14666809522301352
70,浆果,0.1421015334674842
122,葡萄,0.1264521404716526
24,大蒜,0.12633503073827296
9,板栗,0.12472421700672072
55,核桃,0.12091353458112448
178,银耳,0.12017965418215214
166,香蕉,0.1201534145045201
69,豇豆,0.11347976731101185
94,芦荟,0.10808639773157697
131,桑葚,0.10186261566633906
61,蝴蝶兰,0.09811012376755714
161,西葫芦,0.09774699496947607
175,洋葱,0.09536247402041555
10,薄荷,0.08930478137183051
121,苹果,0.0879042515227923
30,冬瓜,0.08532994194001756
39,柑橘,0.08338820771456186
184,柚子,0.08291125885619773
75,韭菜,0.08230547347224731
84,兰花,0.07961111120821177
155,土豆,0.0741112049197455
13,菠菜,0.07391440562282119
23,大豆,0.06741267516928982
114,木瓜,0.06733259193847209
151,桃子,0.06708597838334861
43,枸杞,0.06668138555332555
119,枇杷,0.0645282594824267
102,芒果,0.06327833651606514
165,香菇,0.06208940207453832
98,马齿苋,0.061311582502975304
115,南瓜,0.06113086326440433
136,生菜,0.05990525402891767
80,开心果,0.059617131096995006
32,豆子,0.05888124044619818
11,扁豆,0.05711788233327855
156,豌豆,0.05636508288420589
176,椰子,0.05609128717248261
46,哈密瓜,0.054412460484200814
79,蕨菜,0.05304977741578078
37,甘蓝,0.05267857982159956
22,葱,0.052590210292623014
146,酸菜,0.0510154986941111
0,白菜,0.050897498485390845
62,花菜,0.05081224888012434
164,香菜,0.050100722806856596
159,西瓜,0.04997219905151114
113,木耳,0.04844826211303053
103,毛豆,0.04761527846364548
145,松树,0.04750600884609381
88,荔枝,0.047141104649309415
174,杨桃,0.045771845499827685
148,笋,0.04452443275212236
67,鸡冠花,0.043343569156864284
120,平菇,0.04290231527969114
144,四季豆,0.04067902141099676
16,藏红花,0.040159966946434804
34,风信子,0.03856153316721528
93,柳树,0.037564739271313645
140,水蜜桃,0.03702773067569298
38,甘蔗,0.03628161196906042
154,茼蒿,0.03548829046255419
133,山楂,0.03548383003493531
189,枣,0.035122224186662374
188,郁金香,0.034647821233217135
112,牡丹,0.03438237452613291
169,杏仁,0.03169975162900554
90,莲花,0.031052575492073586
171,薰衣草,0.030889165049151245
20,雏菊,0.030798612114471317
73,金银花,0.03063987272105465
53,荷花,0.0303087020120386
77,菊花,0.0301576644596298
7,百香果,0.030044433428620513
104,玫瑰,0.029947275447462264
76,桔子,0.029889150927129727
56,核桃树,0.02797732329346866
66,黄水仙,0.02747456054411246
42,高粱,0.02559327924075857
40,橄榄,0.02526018529657701
2,白桦树,0.025192307906359825
138,石榴,0.024878751811240274
64,槐树,0.02432814311064758
35,枫树,0.023845719286050157
19,茶花,0.02379316114922007
124,脐橙,0.02373142014452204
137,圣诞树,0.023208776115223095
110,蘑菇,0.02254612172446573
167,向日葵,0.022468758925578525
152,天竺葵,0.022182799309765997
118,盆栽,0.020996849805935962
106,迷迭香,0.02075318733570894
168,小白菜,0.02035237103084838
153,甜玉米,0.020145539564976615
68,夹竹桃,0.019924046788338857
83,喇叭花,0.018605110901816452
5,白杨,0.01770110100927937
177,夜来香,0.01734442688761828
117,泡菜,0.017226920337623252
51,海藻,0.01659608059457907
134,山竹,0.016024685306305173
8,柏树,0.015463313497961767
147,蒜泥,0.015439345971713299
12,槟榔,0.015430906590800077
181,迎春花,0.015249294724945123
31,豆芽,0.014347236852420512
72,金钱草,0.014161295064107652
89,连翘,0.013975146311602895
185,玉兰,0.013788331278303867
163,仙人掌,0.01356802612374165
109,棉花,0.013450910273298476
41,橄榄树,0.01272197180249179
129,秋葵,0.01185968716493274
63,桦木,0.011646011511398727
149,苔藓,0.011594060562612913
182,映山红,0.011448268833462167
44,瓜子,0.010988256340520792
183,油菜花,0.01041257120625604
190,樟子松,0.009881468404766098
14,捕蝇草,0.00941389440981486
100,满天星,0.009157048730946069
29,丁香,0.0091314496035093
27,刀豆,0.009010638705551959
101,蔓越莓,0.008850419682218528
139,水草,0.008384122434352687
105,梅花,0.00829878195309787
50,海棠,0.007738395107566791
47,海草,0.00747052868696302
130,三叶草,0.007188603228278122
6,百合,0.007002012813209686
52,含羞草,0.0066341267104699925
57,黑莓,0.00602066440463265
170,杏子,0.005507692673916673
99,麦穗,0.005117174916547119
95,罗汉松,0.005072970462029682
150,昙花,0.005001721932497485
81,康乃馨,0.004911101700970144
86,梨,0.004662107962174286
172,鸭梨,0.004644598544381165
59,猴面包树,0.004586935488686837
142,水仙花,0.002931697072571345
1,白果,0.002676612087919088
123,蒲公英,0.0026700254401386
45,灌木,0.0026188306001660284
192,竹子,0.0022239798271704034
