,concept,Laplace
28,汽车,0.14321223085197213
45,自行车,0.11849859905541911
10,飞机,0.11847842605066952
25,跑车,0.11522485375478245
24,摩托车,0.10985374576163597
1,车辆,0.10733936003517155
18,轿车,0.0938441382042346
17,吉普车,0.0903851823676915
44,直升机,0.09033336861479789
12,公交车,0.08387756118089354
23,马车,0.07123067057858175
33,三轮车,0.06619077824912845
15,火车,0.06322865055061797
2,出租车,0.05976536245653728
41,游轮,0.05280184806438879
42,游艇,0.052066032864350256
7,房车,0.04762628843035376
20,卡车,0.044241017556326985
22,缆车,0.04411769460015879
8,飞船,0.04093915505963623
30,热气球,0.03506067631381993
29,潜艇,0.03385695463874769
21,卡丁车,0.03295198935774573
39,消防车,0.032411356501422524
19,救护车,0.03111142952055115
40,婴儿车,0.029080106569022112
34,手推车,0.026464096541999375
38,挖掘机,0.023927355010461535
4,吊车,0.022261699090564753
3,地铁,0.019484535293740616
14,滑翔机,0.018721871907373802
37,推土机,0.01487518184813383
9,飞碟,0.014506781740082868
11,飞艇,0.012545717352357882
13,航母,0.012242212838964801
6,帆船,0.011139085325323966
26,碰碰车,0.008322381913415505
32,赛车,0.0078960782791028
5,独木舟,0.007311353475789049
27,皮艇,0.006089679042976669
35,四轮马车,0.006017977919404933
43,运钞车,0.006015740947214573
0,巴士,0.005273193255330698
16,火箭,0.00419927315047229
36,太空舱,0.003513510782771715
31,洒水车,0.0010677797588785466
