id,concept_id,relation_id
0,0,0
1,0,1
2,0,2
3,0,3
4,0,4
5,0,5
6,1,0
7,1,1
8,1,2
9,1,3
10,1,4
11,1,5
12,2,0
13,2,1
14,2,2
15,2,3
16,2,4
17,2,5
18,3,0
19,3,1
20,3,2
21,3,3
22,3,4
23,3,5
24,4,0
25,4,1
26,4,2
27,4,3
28,4,4
29,4,5
30,5,0
31,5,1
32,5,2
33,5,3
34,5,4
35,5,5
36,6,0
37,6,1
38,6,2
39,6,3
40,6,4
41,6,5
42,7,0
43,7,1
44,7,2
45,7,3
46,7,4
47,7,5
48,8,0
49,8,1
50,8,2
51,8,3
52,8,4
53,8,5
54,9,0
55,9,1
56,9,2
57,9,3
58,9,4
59,9,5
60,10,0
61,10,1
62,10,2
63,10,3
64,10,4
65,10,5
66,11,0
67,11,1
68,11,2
69,11,3
70,11,4
71,11,5
72,12,0
73,12,1
74,12,2
75,12,3
76,12,4
77,12,5
78,13,0
79,13,1
80,13,2
81,13,3
82,13,4
83,13,5
84,14,0
85,14,1
86,14,2
87,14,3
88,14,4
89,14,5
90,15,0
91,15,1
92,15,2
93,15,3
94,15,4
95,15,5
96,16,0
97,16,1
98,16,2
99,16,3
100,16,4
101,16,5
102,17,0
103,17,1
104,17,2
105,17,3
106,17,4
107,17,5
108,18,0
109,18,1
110,18,2
111,18,3
112,18,4
113,18,5
114,19,0
115,19,1
116,19,2
117,19,3
118,19,4
119,19,5
120,20,0
121,20,1
122,20,2
123,20,3
124,20,4
125,20,5
126,21,0
127,21,1
128,21,2
129,21,3
130,21,4
131,21,5
132,22,0
133,22,1
134,22,2
135,22,3
136,22,4
137,22,5
138,23,0
139,23,1
140,23,2
141,23,3
142,23,4
143,23,5
144,24,0
145,24,1
146,24,2
147,24,3
148,24,4
149,24,5
150,25,0
151,25,1
152,25,2
153,25,3
154,25,4
155,25,5
156,26,0
157,26,1
158,26,2
159,26,3
160,26,4
161,26,5
162,27,0
163,27,1
164,27,2
165,27,3
166,27,4
167,27,5
168,28,0
169,28,1
170,28,2
171,28,3
172,28,4
173,28,5
174,29,0
175,29,1
176,29,2
177,29,3
178,29,4
179,29,5
180,30,0
181,30,1
182,30,2
183,30,3
184,30,4
185,30,5
186,31,0
187,31,1
188,31,2
189,31,3
190,31,4
191,31,5
192,32,0
193,32,1
194,32,2
195,32,3
196,32,4
197,32,5
198,33,0
199,33,1
200,33,2
201,33,3
202,33,4
203,33,5
204,34,0
205,34,1
206,34,2
207,34,3
208,34,4
209,34,5
210,35,0
211,35,1
212,35,2
213,35,3
214,35,4
215,35,5
216,36,0
217,36,1
218,36,2
219,36,3
220,36,4
221,36,5
222,37,0
223,37,1
224,37,2
225,37,3
226,37,4
227,37,5
228,38,0
229,38,1
230,38,2
231,38,3
232,38,4
233,38,5
234,39,0
235,39,1
236,39,2
237,39,3
238,39,4
239,39,5
240,40,0
241,40,1
242,40,2
243,40,3
244,40,4
245,40,5
246,41,0
247,41,1
248,41,2
249,41,3
250,41,4
251,41,5
252,42,0
253,42,1
254,42,2
255,42,3
256,42,4
257,42,5
258,43,0
259,43,1
260,43,2
261,43,3
262,43,4
263,43,5
264,44,0
265,44,1
266,44,2
267,44,3
268,44,4
269,44,5
270,45,0
271,45,1
272,45,2
273,45,3
274,45,4
275,45,5
276,46,0
277,46,1
278,46,2
279,46,3
280,46,4
281,46,5
282,47,0
283,47,1
284,47,2
285,47,3
286,47,4
287,47,5
288,48,0
289,48,1
290,48,2
291,48,3
292,48,4
293,48,5
294,49,0
295,49,1
296,49,2
297,49,3
298,49,4
299,49,5
300,50,0
301,50,1
302,50,2
303,50,3
304,50,4
305,50,5
306,51,0
307,51,1
